service_id,date,exception_type
ASP24GEN-1038-Sunday-00_C30,20240721,2
ASP24GEN-1038-Sunday-00_C30,20240902,1
ASP24GEN-1038-Sunday-00_C30,20241128,1
ASP24GEN-1039-Saturday-00_C22,20240704,1
ASP24GEN-1039-Saturday-00_C22,20240720,2
ASP24GEN-1092-Weekday-00_C40,20240704,2
ASP24GEN-1092-Weekday-00_C40,20240719,2
ASP24GEN-1092-Weekday-00_C40,20240722,2
ASP24GEN-1092-Weekday-00_C40,20240723,2
ASP24GEN-1092-Weekday-00_C40,20240724,2
ASP24GEN-1092-Weekday-00_C40,20240725,2
ASP24GEN-1092-Weekday-00_C40,20240726,2
ASP24GEN-1092-Weekday-00_C40,20240902,2
ASP24GEN-1092-Weekday-00_C40,20241128,2
ASP24GEN-2042-Saturday-00_C51,20240704,1
ASP24GEN-2042-Saturday-00_C51,20240720,2
ASP24GEN-2048-Sunday-00_C31,20240721,2
ASP24GEN-2048-Sunday-00_C31,20240902,1
ASP24GEN-2048-Sunday-00_C31,20241128,1
ASP24GEN-2099-Weekday-00_C17,20240704,2
ASP24GEN-2099-Weekday-00_C17,20240719,2
ASP24GEN-2099-Weekday-00_C17,20240722,2
ASP24GEN-2099-Weekday-00_C17,20240723,2
ASP24GEN-2099-Weekday-00_C17,20240724,2
ASP24GEN-2099-Weekday-00_C17,20240725,2
ASP24GEN-2099-Weekday-00_C17,20240726,2
ASP24GEN-2099-Weekday-00_C17,20240902,2
ASP24GEN-2099-Weekday-00_C17,20241128,2
ASP24GEN-3040-Saturday-00_C18,20240704,1
ASP24GEN-3040-Saturday-00_C18,20240720,2
ASP24GEN-3040-Saturday-00_C18,20240727,2
ASP24GEN-3042-Sunday-00_C12,20240721,2
ASP24GEN-3042-Sunday-00_C12,20240902,1
ASP24GEN-3042-Sunday-00_C12,20241128,1
ASP24GEN-3091-Weekday-00_C57,20240704,2
ASP24GEN-3091-Weekday-00_C57,20240719,2
ASP24GEN-3091-Weekday-00_C57,20240722,2
ASP24GEN-3091-Weekday-00_C57,20240723,2
ASP24GEN-3091-Weekday-00_C57,20240724,2
ASP24GEN-3091-Weekday-00_C57,20240725,2
ASP24GEN-3091-Weekday-00_C57,20240726,2
ASP24GEN-3091-Weekday-00_C57,20240902,2
ASP24GEN-3091-Weekday-00_C57,20241128,2
ASP24GEN-4043-Saturday-00_C20,20240704,1
ASP24GEN-4043-Saturday-00_C20,20240720,2
ASP24GEN-4049-Sunday-00_C6,20240721,2
ASP24GEN-4049-Sunday-00_C6,20240902,1
ASP24GEN-4049-Sunday-00_C6,20241128,1
ASP24GEN-4103-Weekday-00,20240704,2
ASP24GEN-4103-Weekday-00,20240902,2
ASP24GEN-4103-Weekday-00,20241128,2
ASP24GEN-5044-Saturday-00_C5,20240704,1
ASP24GEN-5044-Saturday-00_C5,20240720,2
ASP24GEN-5049-Sunday-00_C10,20240721,2
ASP24GEN-5049-Sunday-00_C10,20240902,1
ASP24GEN-5049-Sunday-00_C10,20241128,1
ASP24GEN-5112-Weekday-00_C55,20240704,2
ASP24GEN-5112-Weekday-00_C55,20240719,2
ASP24GEN-5112-Weekday-00_C55,20240722,2
ASP24GEN-5112-Weekday-00_C55,20240723,2
ASP24GEN-5112-Weekday-00_C55,20240724,2
ASP24GEN-5112-Weekday-00_C55,20240725,2
ASP24GEN-5112-Weekday-00_C55,20240726,2
ASP24GEN-5112-Weekday-00_C55,20240902,2
ASP24GEN-5112-Weekday-00_C55,20241128,2
ASP24GEN-6031-Sunday-00_C68,20240721,2
ASP24GEN-6031-Sunday-00_C68,20240902,1
ASP24GEN-6031-Sunday-00_C68,20241128,1
ASP24GEN-6034-Saturday-00_C3,20240704,1
ASP24GEN-6034-Saturday-00_C3,20240720,2
ASP24GEN-6089-Weekday-00_C67,20240704,2
ASP24GEN-6089-Weekday-00_C67,20240719,2
ASP24GEN-6089-Weekday-00_C67,20240722,2
ASP24GEN-6089-Weekday-00_C67,20240723,2
ASP24GEN-6089-Weekday-00_C67,20240724,2
ASP24GEN-6089-Weekday-00_C67,20240725,2
ASP24GEN-6089-Weekday-00_C67,20240726,2
ASP24GEN-6089-Weekday-00_C67,20240902,2
ASP24GEN-6089-Weekday-00_C67,20241128,2
ASP24GEN-7024-Saturday-00_C36,20240704,1
ASP24GEN-7024-Saturday-00_C36,20240720,2
ASP24GEN-7024-Saturday-00_C36,20240727,2
ASP24GEN-7026-Sunday-00_C14,20240721,2
ASP24GEN-7026-Sunday-00_C14,20240902,1
ASP24GEN-7026-Sunday-00_C14,20241128,1
ASP24GEN-7064-Weekday-00_C64,20240704,2
ASP24GEN-7064-Weekday-00_C64,20240719,2
ASP24GEN-7064-Weekday-00_C64,20240722,2
ASP24GEN-7064-Weekday-00_C64,20240723,2
ASP24GEN-7064-Weekday-00_C64,20240724,2
ASP24GEN-7064-Weekday-00_C64,20240725,2
ASP24GEN-7064-Weekday-00_C64,20240726,2
ASP24GEN-7064-Weekday-00_C64,20240902,2
ASP24GEN-7064-Weekday-00_C64,20241128,2
ASP24GEN-GS013-Saturday-00,20240704,1
ASP24GEN-GS013-Sunday-00,20240902,1
ASP24GEN-GS013-Sunday-00,20241128,1
ASP24GEN-GS022-Weekday-00,20240704,2
ASP24GEN-GS022-Weekday-00,20240902,2
ASP24GEN-GS022-Weekday-00,20241128,2
BSP24GEN-A046-Saturday-00_C16,20240704,1
BSP24GEN-A046-Saturday-00_C16,20240720,2
BSP24GEN-A046-Saturday-00_C16,20240727,2
BSP24GEN-A054-Sunday-00_C33,20240721,2
BSP24GEN-A054-Sunday-00_C33,20240902,1
BSP24GEN-A054-Sunday-00_C33,20241128,1
BSP24GEN-A086-Weekday-00_C21,20240704,2
BSP24GEN-A086-Weekday-00_C21,20240719,2
BSP24GEN-A086-Weekday-00_C21,20240722,2
BSP24GEN-A086-Weekday-00_C21,20240723,2
BSP24GEN-A086-Weekday-00_C21,20240724,2
BSP24GEN-A086-Weekday-00_C21,20240725,2
BSP24GEN-A086-Weekday-00_C21,20240726,2
BSP24GEN-A086-Weekday-00_C21,20240902,2
BSP24GEN-A086-Weekday-00_C21,20241128,2
BSP24GEN-B085-Weekday-00_C13,20240704,2
BSP24GEN-B085-Weekday-00_C13,20240719,2
BSP24GEN-B085-Weekday-00_C13,20240722,2
BSP24GEN-B085-Weekday-00_C13,20240723,2
BSP24GEN-B085-Weekday-00_C13,20240724,2
BSP24GEN-B085-Weekday-00_C13,20240725,2
BSP24GEN-B085-Weekday-00_C13,20240726,2
BSP24GEN-B085-Weekday-00_C13,20240902,2
BSP24GEN-B085-Weekday-00_C13,20241128,2
BSP24GEN-C026-Saturday-00_C11,20240704,1
BSP24GEN-C026-Saturday-00_C11,20240720,2
BSP24GEN-C028-Sunday-00_C42,20240721,2
BSP24GEN-C028-Sunday-00_C42,20240902,1
BSP24GEN-C028-Sunday-00_C42,20241128,1
BSP24GEN-C056-Weekday-00_C66,20240704,2
BSP24GEN-C056-Weekday-00_C66,20240719,2
BSP24GEN-C056-Weekday-00_C66,20240722,2
BSP24GEN-C056-Weekday-00_C66,20240723,2
BSP24GEN-C056-Weekday-00_C66,20240724,2
BSP24GEN-C056-Weekday-00_C66,20240725,2
BSP24GEN-C056-Weekday-00_C66,20240726,2
BSP24GEN-C056-Weekday-00_C66,20240902,2
BSP24GEN-C056-Weekday-00_C66,20241128,2
BSP24GEN-D039-Saturday-00_C39,20240704,1
BSP24GEN-D039-Saturday-00_C39,20240720,2
BSP24GEN-D039-Saturday-00_C39,20240727,2
BSP24GEN-D042-Sunday-00_C52,20240721,2
BSP24GEN-D042-Sunday-00_C52,20240902,1
BSP24GEN-D042-Sunday-00_C52,20241128,1
BSP24GEN-D081-Weekday-00_C60,20240704,2
BSP24GEN-D081-Weekday-00_C60,20240719,2
BSP24GEN-D081-Weekday-00_C60,20240722,2
BSP24GEN-D081-Weekday-00_C60,20240723,2
BSP24GEN-D081-Weekday-00_C60,20240724,2
BSP24GEN-D081-Weekday-00_C60,20240725,2
BSP24GEN-D081-Weekday-00_C60,20240726,2
BSP24GEN-D081-Weekday-00_C60,20240902,2
BSP24GEN-D081-Weekday-00_C60,20241128,2
BSP24GEN-E043-Saturday-00_C54,20240704,1
BSP24GEN-E043-Saturday-00_C54,20240720,2
BSP24GEN-E049-Sunday-00_C53,20240721,2
BSP24GEN-E049-Sunday-00_C53,20240902,1
BSP24GEN-E049-Sunday-00_C53,20241128,1
BSP24GEN-E075-Weekday-00_C47,20240704,2
BSP24GEN-E075-Weekday-00_C47,20240719,2
BSP24GEN-E075-Weekday-00_C47,20240722,2
BSP24GEN-E075-Weekday-00_C47,20240723,2
BSP24GEN-E075-Weekday-00_C47,20240724,2
BSP24GEN-E075-Weekday-00_C47,20240725,2
BSP24GEN-E075-Weekday-00_C47,20240726,2
BSP24GEN-E075-Weekday-00_C47,20240902,2
BSP24GEN-E075-Weekday-00_C47,20241128,2
BSP24GEN-F045-Saturday-00_C58,20240704,1
BSP24GEN-F045-Saturday-00_C58,20240720,2
BSP24GEN-F045-Saturday-00_C58,20240727,2
BSP24GEN-F049-Sunday-00_C44,20240721,2
BSP24GEN-F049-Sunday-00_C44,20240902,1
BSP24GEN-F049-Sunday-00_C44,20241128,1
BSP24GEN-F078-Weekday-00_C63,20240704,2
BSP24GEN-F078-Weekday-00_C63,20240719,2
